"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","A Killer Among Us","mkm","Near Mint","English","","","2025-10-09 19:20:29.120000","167","False","False",""
"1","1","A Little Chat","snc","Near Mint","English","","","2024-11-23 20:36:11.870000","47","False","False",""
"1","1","A Realm Reborn","fin","Near Mint","English","","","2025-10-09 19:20:37.343000","344","False","False",""
"3","3","Abandon Hope","tmp","Near Mint","English","","","2025-10-06 06:18:30.797000","107","False","False",""
"1","1","Abandon the Post","mid","Near Mint","English","","","2025-10-11 04:12:57.177000","127","False","False",""
"1","1","Abandon the Post","mid","Near Mint","English","foil","","2024-12-21 22:45:10.243000","127","False","False",""
"1","1","Abandoned Campground","dsk","Near Mint","English","foil","","2024-12-04 05:55:57.733000","255","False","False",""
"1","1","Abandoned Campground","dsk","Near Mint","English","","","2025-10-16 20:57:35.000000","255","False","False",""
"2","2","Abandoned Sarcophagus","hou","Near Mint","English","","","2025-10-04 00:29:44.357000","158","False","False",""
"1","1","Abattoir Ghoul","ddq","Near Mint","English","","","2025-10-06 06:19:47.603000","50","False","False",""
"1","1","Abattoir Ghoul","isd","Near Mint","English","","","2025-10-06 06:19:28.877000","85","False","False",""
"3","3","Abduction","wth","Near Mint","English","","","2025-10-08 03:34:19.897000","30","False","False",""
"1","1","Aberrant Researcher // Perfected Form","inr","Near Mint","English","foil","","2025-10-08 03:34:37.297000","52","False","False",""
"1","1","Abhorrent Oculus","dsk","Near Mint","English","","","2025-10-08 03:35:08.557000","344","False","False",""
"1","1","Abhorrent Oculus","dsk","Near Mint","English","foil","","2025-01-29 01:31:40.367000","344","False","False",""
"1","1","Abhorrent Overlord","ths","Near Mint","English","","","2024-11-29 19:41:23.877000","75","False","False",""
"4","4","Abjure","wth","Near Mint","English","","","2025-10-08 03:36:10.880000","31","False","False",""
"1","1","Abolish","plst","Near Mint","English","","","2025-08-18 23:37:38.453000","PCY-1","False","False",""
"3","3","Abomination of Gudul","ktk","Near Mint","English","","","2025-10-17 04:39:41.973000","159","False","False",""
"1","1","Abrade","plst","Near Mint","English","","","2025-10-11 04:13:33.007000","2XM-114","False","False",""
"1","1","Abrade","fdn","Near Mint","English","foil","","2024-12-07 15:53:34.173000","327","False","False",""
"1","1","Abrade","inr","Near Mint","English","foil","","2025-10-11 04:13:42.677000","139","False","False",""
"1","1","Abrade","sld","Near Mint","English","foil","","2025-10-21 16:11:40.030000","2179","False","False",""
"2","2","Abraded Bluffs","otj","Near Mint","English","","","2025-10-17 02:26:32.693000","251","False","False",""
"1","1","Absolute Virtue","fin","Near Mint","English","","","2025-10-16 20:58:07.037000","212","False","False",""
"1","1","Absolving Lammasu","mkm","Near Mint","English","","","2025-10-13 18:47:30.980000","2","False","False",""
"2","2","Abstruse Interference","ogw","Near Mint","English","","","2025-10-08 03:36:39.947000","40","False","False",""
"1","1","Abundance","usg","Near Mint","English","","","2025-10-09 19:20:59.157000","229","False","False",""
"1","1","Abundant Growth","inr","Near Mint","English","foil","","2025-10-09 19:21:29.760000","184","False","False",""
"1","1","Abundant Growth","inr","Near Mint","English","","","2025-10-09 19:21:22.683000","315","False","False",""
"2","2","Abundant Growth","inr","Near Mint","English","","","2025-10-09 19:21:38.693000","406","False","False",""
"1","1","Abundant Maw","inr","Near Mint","English","","","2025-10-06 06:21:12.440000","329","False","False",""
"2","2","Abundant Maw","inr","Near Mint","English","foil","","2025-10-06 06:21:24.083000","1","False","False",""
"3","3","Abyssal Gatekeeper","wth","Near Mint","English","","","2025-10-06 06:23:35.373000","59","False","False",""
"2","2","Abyssal Harvester","fdn","Near Mint","English","foil","","2025-10-06 06:24:03.797000","54","False","False",""
"1","1","Abyssal Harvester","fdn","Near Mint","English","","","2024-12-07 21:13:56.293000","458","False","False",""
"2","2","Abyssal Harvester","fdn","Near Mint","English","","","2025-10-06 06:24:09.077000","54","False","False",""
"1","1","Abyssal Hunter","mir","Near Mint","English","","","2024-11-29 19:42:55.147000","103","False","False",""
"1","1","Abyssal Specter","5ed","Near Mint","English","","","2024-12-04 17:22:22.813000","139","False","False",""
"1","1","Abzan Banner","ktk","Near Mint","English","","","2024-12-03 18:15:19.003000","215","False","False",""
"1","1","Abzan Beastmaster","frf","Near Mint","English","","","2024-11-29 18:58:41.103000","119","False","False",""
"1","1","Abzan Charm","ktk","Near Mint","English","","","2024-12-03 18:15:46.327000","161","False","False",""
"1","1","Abzan Devotee","tdm","Near Mint","English","","","2025-10-17 05:14:18.760000","68","False","False",""
"1","1","Abzan Falconer","ktk","Near Mint","English","","","2024-11-30 00:20:39.800000","2","False","False",""
"1","1","Abzan Guide","ktk","Near Mint","English","","","2025-10-17 05:14:32.287000","162","False","False",""
"1","1","Abzan Guide","ktk","Near Mint","English","foil","","2024-12-03 18:15:01.813000","162","False","False",""
"1","1","Abzan Monument","tdm","Near Mint","English","","","2025-10-17 05:14:57.757000","238","False","False",""
"1","1","Abzan Runemark","frf","Near Mint","English","","","2024-12-07 02:35:18.523000","3","False","False",""
"2","2","Abzan Skycaptain","frf","Near Mint","English","","","2025-10-13 18:48:10.503000","4","False","False",""
"2","2","Academy Drake","dom","Near Mint","English","","","2025-10-08 03:36:50.177000","40","False","False",""
"1","1","Academy Elite","cns","Near Mint","English","","","2024-12-05 01:42:57.453000","20","False","False",""
"3","3","Academy Journeymage","dom","Near Mint","English","","","2025-10-08 03:37:17.900000","41","False","False",""
"1","1","Academy Manufactor","otc","Near Mint","English","","","2025-10-04 00:29:31.757000","251","False","False",""
"1","1","Academy Manufactor","moc","Near Mint","English","","","2025-10-04 00:29:56.340000","346","False","False",""
"1","1","Academy Manufactor","mh2","Near Mint","English","","","2025-10-04 04:25:49.090000","469","False","False",""
"1","1","Academy Raider","m14","Near Mint","English","","","2024-12-06 04:41:47.873000","124","False","False",""
"1","1","Acclaimed Contender","eld","Near Mint","English","","","2024-12-06 22:05:16.073000","1","False","False",""
"1","1","Accomplished Automaton","kld","Near Mint","English","","","2024-12-03 19:06:31.440000","191","False","False",""
"2","2","Accorder's Shield","m14","Near Mint","English","","","2025-10-04 00:31:10.447000","204","False","False",""
"1","1","Accursed Duneyard","drc","Near Mint","English","","","2025-10-04 01:17:14.737000","36","False","False",""
"1","1","Accursed Horde","hou","Near Mint","English","","","2024-12-04 17:22:41.133000","56","False","False",""
"1","1","Accursed Marauder","mh3","Near Mint","English","","","2024-12-08 18:32:34.320000","80","False","False",""
"2","2","Accursed Spirit","m15","Near Mint","English","","","2025-10-06 06:26:16.297000","85","False","False",""
"2","2","Accursed Spirit","m14","Near Mint","English","","","2025-10-06 06:26:21.313000","83","False","False",""
"1","1","Accursed Spirit","m15","Near Mint","English","foil","","2025-10-06 06:27:18.297000","85","False","False",""
"1","1","Ace, Fearless Rebel","who","Near Mint","English","","","2024-12-08 17:43:56.290000","98","False","False",""
"1","1","Ace's Baseball Bat","who","Near Mint","English","","","2024-12-08 17:51:48.957000","170","False","False",""
"1","1","Acidic Dagger","mir","Near Mint","English","","","2024-12-04 00:36:17.577000","291","False","False",""
"1","1","Acidic Slime","sld","Near Mint","English","","","2025-10-09 19:22:25.027000","134","False","False",""
"1","1","Acidic Slime","m12","Near Mint","English","","","2025-10-09 19:22:36.393000","161","False","False",""
"4","4","Acidic Sliver","sth","Near Mint","English","","","2025-10-15 21:56:56.157000","126","False","False",""
"1","1","Acolyte's Reward","bng","Near Mint","English","foil","","2024-12-07 04:07:27.050000","1","False","False",""
"1","1","Acquisition Octopus","plst","Near Mint","English","","","2025-10-08 03:38:00.697000","NEO-44","False","False",""
"1","1","Acrobatic Cheerleader","dsk","Near Mint","English","foil","","2024-12-06 22:05:38.840000","1","False","False",""
"5","5","Acrobatic Cheerleader","dsk","Near Mint","English","","","2025-10-13 18:49:34.450000","1","False","False",""
"3","3","Acrobatic Maneuver","kld","Near Mint","English","","","2025-10-13 18:50:57.157000","1","False","False",""
"5","5","Act of Treason","gtc","Near Mint","English","","","2025-10-11 04:15:49.703000","85","False","False",""
"1","1","Act of Treason","m12","Near Mint","English","","","2025-10-11 04:15:55.147000","121","False","False",""
"1","1","Act of Treason","jmp","Near Mint","English","","","2025-10-11 04:16:01.900000","289","False","False",""
"1","1","Act of Treason","m14","Near Mint","English","","","2024-12-06 19:37:18.967000","125","False","False",""
"1","1","Active Volcano","chr","Near Mint","English","","","2024-12-06 17:36:37.220000","43","False","False",""
"1","1","Adamant Will","dom","Near Mint","English","","","2024-12-07 04:07:51.620000","2","False","False",""
"1","1","Adanto Vanguard","xln","Near Mint","English","","","2024-11-29 18:50:52.757000","1","False","False",""
"1","1","Adaptive Automaton","brr","Near Mint","English","","","2024-12-08 03:14:43.247000","64","False","False",""
"6","6","Adaptive Snapjaw","gtc","Near Mint","English","","","2025-10-09 19:23:07.170000","113","False","False",""
"2","2","Adaptive Sporesinger","one","Near Mint","English","","","2025-10-09 19:24:25.157000","157","False","False",""
"3","3","Adarkar Sentinel","ice","Near Mint","English","","","2025-10-04 01:19:40.830000","306","False","False",""
"1","1","Adarkar Wastes","blc","Near Mint","English","","","2025-09-23 04:30:02.820000","291","False","False",""
"1","1","Adelbert Steiner","fin","Near Mint","English","","","2025-10-13 18:51:49.170000","422","False","False",""
"2","2","Adelbert Steiner","fin","Near Mint","English","","","2025-10-13 18:51:59.930000","3","False","False",""
"1","1","Adeline, Resplendent Cathar","mid","Near Mint","English","foil","","2025-10-13 18:57:38.343000","1","False","False",""
"1","1","Adeline, Resplendent Cathar","mid","Near Mint","English","","","2025-10-13 18:57:27.593000","312","False","False",""
"1","1","Adeline, Resplendent Cathar","j25","Near Mint","English","","","2025-10-13 18:58:00.040000","57","False","False",""
"1","1","Adeliz, the Cinder Wind","dom","Near Mint","English","","","2024-12-04 07:42:49.240000","190","False","False",""
"1","1","Adorned Pouncer","hou","Near Mint","English","","","2024-11-29 18:33:22.327000","2","False","False",""
"1","1","Adrenaline Jockey","dft","Near Mint","English","foil","","2025-10-11 04:17:01.703000","112","False","False",""
"1","1","Adric, Mathematical Genius","who","Near Mint","English","","","2024-12-08 17:42:17.230000","33","False","False",""
"7","7","Advance Scout","tmp","Near Mint","English","","","2025-10-13 18:58:43.657000","1","False","False",""
"1","1","Advent of the Wurm","dgm","Near Mint","English","","","2024-12-04 16:47:07.120000","51","False","False",""
"5","5","Adventure Awaits","znr","Near Mint","English","","","2025-10-09 19:24:56.343000","177","False","False",""
"1","1","Adventurer's Airship","fin","Near Mint","English","","","2025-10-04 03:37:50.777000","252","False","False",""
"6","6","Adventurer's Inn","fin","Near Mint","English","","","2025-10-04 03:53:48.670000","271","False","False",""
"1","1","Adventuring Gear","fdn","Near Mint","English","","","2025-10-04 21:35:38.277000","249","False","False",""
"1","1","Adventuring Gear","fdn","Near Mint","English","foil","","2024-12-07 21:38:21.547000","249","False","False",""
"2","2","Adventurous Impulse","dom","Near Mint","English","","","2025-10-09 19:25:22.913000","153","False","False",""
"2","2","Advocate of the Beast","m14","Near Mint","English","","","2025-10-09 19:25:34.497000","164","False","False",""
"1","1","Aegar, the Freezing Flame","khm","Near Mint","English","","","2024-12-04 07:43:35.883000","200","False","False",""
"1","1","Aegar, the Freezing Flame","khm","Near Mint","English","","","2024-12-04 07:43:13.740000","321","False","False",""
"1","1","Aegis Angel","w16","Near Mint","English","","","2024-11-29 18:44:01.597000","1","False","False",""
"5","5","Aegis Automaton","aer","Near Mint","English","","","2025-10-13 18:59:40.903000","141","False","False",""
"1","1","Aegis Sculptor","tdm","Near Mint","English","foil","","2025-10-08 03:38:49.307000","35","False","False",""
"1","1","Aegis Turtle","fdn","Near Mint","English","foil","","2025-10-08 03:39:07.823000","150","False","False",""
"1","1","Aegis Turtle","fdn","Near Mint","English","","","2025-10-08 03:39:15.313000","150","False","False",""
